"id_respuesta","id_pregunta","pregunta_informativa","es_informativa","mejor_segun_usuario","mejor_segun_comunidad","categoria0","categoria1","categoria2","titulo_pregunta","cuerpo_pregunta","respuesta"
"718151","126113","True","1","1","1","Business & Finance","Small Business","Small Business","How do i go about getting a business and entertainment license?","I need to know how to get started on getting these licenses. I live in Houston TX. Also what kind of things do i need to look into if i want to open a Jazz club besides a liquor license. PLease help thanks!!!","The fire chief needs to come in and inspect the premises for code violations.  Then the health department needs to come in and do a health inspection to ensure that the place is suitable for the public to consume beverages and food in the place."
"488456","93284","True","1","1","1","Arts & Humanities","History","History","How do find the value of a missing antique?","Have names (Archduke Ferdinand and Emporer of China), and it is a cabinet that is one piece of a seven piece set.  How do i research it?","Antiques road show?


                         It's missing?

                           That kind of makes it academic."
"765544","133790","True","1","1","1","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","If you type in- ""How to tie a bow tie"" into a search engine like google and click on images it comes up with a step by step guide to doing your bow tie.

You could also try this link-

http://www.folds.net/bowtie/page2.gif"
"765545","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","like a shoe string i guess"
"765546","133790","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","There's a great tutorial with step by step pictures, instructions and a video located here - http://www.beautiesltd.com/howtotie.aspx"
"765547","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","ask your mother.. chav!"
"765548","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","take it back to the shop and get the nice lady to do it for you."
"765549","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","I dunno, I live on a hotel street, so I always just go outside and ask one of the prostitutes to do it for me."
"765550","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","tie it round your neck.and jump of a cliff.."
"765551","133790","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","buy a clip on or go here   http://www.bowtie.com/tying.html"
"765552","133790","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","Take a look at this site.

http://www.videojug.com/film/how-to-tie-a-bow-tie"
"765553","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","hey... wear it all loose n casual n untied..... jus like the pretty new Bond 007"
"765554","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","well youb can find how to in a book, i cant rember the name but its full of rather intresting n useless facts, i mean u could name the kings horses, wrap a sari n wear a bow tie all at once!"
"765555","133790","True","1","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","Difficult to explain without pictures
http://www.tie-a-tie.net/bowtie.html"
"765556","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","The same way you tie your shoes."
"765557","133790","True","0","0","0","Beauty & Style","Fashion & Accessories","Fashion & Accessories","how do you tie a bow tie?","i have an untied bow tie how do i tie it","I know how to, but don't know how to explain to, sorry, lol.
Go to google and search for ""how put on a bow tie"" you'll find what you want there."
"207193","48277","True","1","1","1","Local Businesses","Other - US Local Businesses","United States","how do i get a .org e-mail account?","","You can register a .org domain through any registrant - the same way you would a .com or .net domain."
"302772","64297","True","1","0","1","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","I think you should ask the question the other way around.

How did Jesus treat Satan...

To elaborate, and this is only my thought and not in the bible:

Jesus died for our sins. He took them from us so that we might be saved.
Now if He had every sin ever done and would be done, then that is a heavy burden. A sinner like that would go to hell. And He did with our sin. That's right you and I sent Jesus to hell. But that is what he wanted, and how else would he get in if we didn't send Him there. He couldn't just walk right in, so it was staged that way, sort of a covert operation. Then once He was there, he took the keys to life and death and then escaped back to heaven. All this took three days. That way Jesus decides who will live forever and who will die in hell."
"302773","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","Hell is your grave. It is not a place of torture that preachers have taught you."
"302774","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","In my opinion, Jesus never went to hell. He spent time with His Father in Heaven. After the resurecction, he went back to heaven, but never died again."
"302775","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","i never heard that jesus went to hell"
"302776","64297","True","0","0","0","Society & Culture","Religion & Spirituality","Religion & Spirituality","How did Satan treat Jesus those three days Jesus went to hell?","","He made him chicken wings and they drank heavy beers together."
